

74400.00,-0.006

74500.00,-0.001

74600.00,73900.00,-0.006

74000.00,-0.002

74100.00,-0.003

74200.00,-0.006

74300.00,-0.005

74400.00,-0.006

74500.00,-0.001

74600.00,

0.00,-0.000

100.00,0.000

200.00,0.001

300.00,0.001

400.00,0.001

500.00,0.001

600.00,0.000

700.00,0.000

800.00,0.001

900.00,0.000

1000.00,-0.001

1100.00,-0.001

1200.00,-0.000

1300.00,-0.001

1400.00,-0.001

1500.00,-0.000

1600.00,-0.000

1700.00,-0.001

1800.00,-0.000

1900.00,0.001

2000.00,-0.002

2100.00,-0.013

2200.00,-0.024

2300.00,-0.015

2400.00,0.011

2500.00,0.019

2600.00,0.318

2700.00,3.257

2800.00,7.416

2900.00,19.310

3000.00,38.568

3100.00,48.355

3200.00,48.076

3300.00,48.760

3400.00,49.818

3500.00,49.720

3600.00,51.209

3700.00,50.434

3800.00,50.769

3900.00,50.709

4000.00,50.262

4100.00,50.329

4200.00,50.926

4300.00,50.609

4400.00,50.774

4500.00,50.386

4600.00,50.482

4700.00,50.500

4800.00,50.573

4900.00,50.540

5000.00,50.449

5100.00,50.564

5200.00,50.756

5300.00,50.591

5400.00,50.438

5500.00,50.475

5600.00,50.540

5700.00,50.559

5800.00,50.589

5900.00,50.537

6000.00,50.575

6100.00,50.519

6200.00,50.559

6300.00,50.597

6400.00,50.570

6500.00,50.511

6600.00,50.562

6700.00,50.545

6800.00,50.577

6900.00,50.674

7000.00,50.632

7100.00,50.398

7200.00,50.542

7300.00,50.596

7400.00,50.571

7500.00,50.531

7600.00,50.543

7700.00,50.553

7800.00,50.519

7900.00,50.569

8000.00,50.549

8100.00,50.574

8200.00,50.577

8300.00,50.609

8400.00,50.604

8500.00,50.590

8600.00,50.557

8700.00,50.631

8800.00,50.610

